Retail Transaction Statistics
=============================
Number of transactions: 88162
Number of unique items: 16470
Average transaction length: 10.31

Item occurrence counts:
Item 1: 177
Item 2: 266
Item 3: 549
Item 4: 8
Item 5: 19
Item 6: 295
Item 7: 151
Item 8: 100
Item 9: 19
Item 10: 1372
Item 11: 712
Item 12: 711
Item 13: 409
Item 14: 15
Item 15: 19
Item 16: 345
Item 17: 124
Item 18: 58
Item 19: 860
Item 20: 1005
Item 21: 5
Item 22: 5
Item 23: 200
Item 24: 758
Item 25: 90
Item 26: 83
Item 27: 143
Item 28: 157
Item 29: 7
Item 30: 8
Item 31: 540
Item 32: 920
Item 33: 15167
Item 34: 37
Item 35: 14
Item 36: 78
Item 37: 2936
Item 38: 1074
Item 39: 15596
Item 40: 50675
Item 41: 211
Item 42: 14945
Item 43: 101
Item 44: 219
Item 45: 196
Item 46: 911
Item 47: 75
Item 48: 444
Item 49: 42135
Item 50: 1120
Item 51: 249
Item 52: 195
Item 53: 501
Item 54: 509
Item 55: 83
Item 56: 704
Item 57: 535
Item 58: 12
Item 59: 165
Item 60: 197
Item 61: 1489
Item 62: 141
Item 63: 543
Item 64: 3
Item 65: 192
Item 66: 4472
Item 67: 319
Item 68: 189
Item 69: 215
Item 70: 246
Item 71: 98
Item 72: 143
Item 73: 22
Item 74: 50
Item 75: 47
Item 76: 324
Item 77: 869
Item 78: 250
Item 79: 1060
Item 80: 1600
Item 81: 464
Item 82: 26
Item 83: 287
Item 84: 198
Item 85: 95
Item 86: 194
Item 87: 93
Item 88: 55
Item 89: 155
Item 90: 3837
Item 91: 23
Item 92: 152
Item 93: 62
Item 94: 97
Item 95: 516
Item 96: 271
Item 97: 334
Item 98: 89
Item 99: 232
Item 100: 58
Item 101: 54
Item 102: 2237
Item 103: 155
Item 104: 812
Item 105: 244
Item 106: 657
Item 107: 35
Item 108: 765
Item 109: 234
Item 110: 45
Item 111: 2794
Item 112: 88
Item 113: 73
Item 114: 49
Item 115: 61
Item 116: 49
Item 117: 266
Item 118: 1026
Item 119: 37
Item 120: 60
Item 121: 92
Item 122: 50
Item 123: 19
Item 124: 1302
Item 125: 98
Item 126: 39
Item 127: 95
Item 128: 200
Item 129: 276
Item 130: 187
Item 131: 23
Item 132: 68
Item 133: 27
Item 134: 245
Item 135: 15
Item 136: 17
Item 137: 467
Item 138: 27
Item 139: 53
Item 140: 26
Item 141: 13
Item 142: 211
Item 143: 7
Item 144: 5
Item 145: 7
Item 146: 2
Item 147: 3
Item 148: 1779
Item 149: 52
Item 150: 15
Item 151: 597
Item 152: 232
Item 153: 163
Item 154: 111
Item 155: 7
Item 156: 546
Item 157: 830
Item 158: 71
Item 159: 34
Item 160: 130
Item 161: 12
Item 162: 1010
Item 163: 23
Item 164: 104
Item 165: 330
Item 166: 274
Item 167: 300
Item 168: 256
Item 169: 293
Item 170: 276
Item 171: 3099
Item 172: 225
Item 173: 24
Item 174: 86
Item 175: 91
Item 176: 970
Item 177: 404
Item 178: 65
Item 179: 479
Item 180: 998
Item 181: 50
Item 182: 20
Item 183: 15
Item 184: 14
Item 185: 182
Item 186: 1376
Item 187: 660
Item 188: 51
Item 189: 62
Item 190: 259
Item 191: 60
Item 192: 69
Item 193: 163
Item 194: 204
Item 195: 61
Item 196: 337
Item 197: 24
Item 198: 191
Item 199: 111
Item 200: 223
Item 201: 239
Item 202: 1133
Item 203: 12
Item 204: 327
Item 205: 316
Item 206: 262
Item 207: 257
Item 208: 186
Item 209: 529
Item 210: 611
Item 211: 61
Item 212: 206
Item 213: 70
Item 214: 304
Item 215: 25
Item 216: 320
Item 217: 60
Item 218: 45
Item 219: 91
Item 220: 39
Item 221: 230
Item 222: 34
Item 223: 228
Item 224: 74
Item 225: 9
Item 226: 3257
Item 227: 112
Item 228: 307
Item 229: 181
Item 230: 820
Item 231: 53
Item 232: 10
Item 233: 366
Item 234: 95
Item 235: 284
Item 236: 309
Item 237: 176
Item 238: 3032
Item 239: 6
Item 240: 24
Item 241: 7
Item 242: 2
Item 243: 911
Item 244: 202
Item 245: 272
Item 246: 65
Item 247: 405
Item 248: 75
Item 249: 412
Item 250: 1160
Item 251: 276
Item 252: 621
Item 253: 3
Item 254: 5
Item 255: 96
Item 256: 1474
Item 257: 250
Item 258: 25
Item 259: 987
Item 260: 684
Item 261: 691
Item 262: 523
Item 263: 317
Item 264: 17
Item 265: 895
Item 266: 166
Item 267: 139
Item 268: 584
Item 269: 28
Item 270: 701
Item 271: 1734
Item 272: 2094
Item 273: 650
Item 274: 85
Item 275: 195
Item 276: 141
Item 277: 114
Item 278: 46
Item 279: 306
Item 280: 633
Item 281: 110
Item 282: 453
Item 283: 233
